Description,Category
what would you do if some man touches you when you are walking down the street,1
sweet baby,1
she is ugly and does not meet the level of the type of girl he would date,
beautiful I just want to say hallo and feel how soft you are,
You're sexy and we know it,
these are as ripe as oranges,
hey baby,
2 girls 1 cup,
your place or mine,
i want to fuck you,
big tits,
"look, your girl friend is coming",
you girl come here,
hey this girl you claim a lot as if you are the only girl in town,
"Girls don't need to wash hand after urinating boys have to, right?",
we are used to ladies bodies,
you are boasting over God's greetings and you are not even beautiful,
called us by some local names like chinky,
Faggoty fag fag. Gay secks man blowjob. Settle down.,
Let that pussy freeze. Rotten bitey little bastard.,
you are a fatty fat fat,
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,
Obviously you're someone who likes to blow,
I want to touch your legs,
I wanna make u cum like u never had is that a bad thing I know you will love it,
"I'm all for this hiring women thing, but not if it's going to cost me three of my men every time you can't do something.",
women belonged at home cleaning floors,
I had dream sex with you last night,
What do you shave?,
Did you like my porno?,
You get hot for beards right?,
We're starting a pool about how fat you'll get,
I wanna take you in the stairwell,
Wow. And I thought I was the only one still having wet dreams.,
HONKERS!,
Can I watch you while you sleep?,
"Your breasts are big, and you probably didn't even feel it.",
You're too hot to work here,
Nice tits.,
Come to my place. I treat you dinner.,
I climaxed.,
"You know, it really doesnt matter what they write as long as youve got a young and beautiful piece of ass.",
She cheated on him like a dog and will do it again.,
"When I gain weight, I think of that picture.",
"I think certain women are more beautiful than others, to be perfectly honest and it's fortunate I don't have to run for political office.",
"You really cake it on, don't you?",
Who are you trying to impress?,
You'd look so much prettier if you kept it natural.,
I hope you get raped again,
hey girl u ever have a big black deep inside u?,
"I want to marry you, so add me please",
sweetie,
hun,
cutie,
she’s so emotional,
you only got the job because youre a woman,
she really wasnt that good but they really wanted to keep her,
you do that so well for a girl,
pretty little sidekick,
eyed her up and down,
at my old job there were rumors that i had the job because the boss had feelings for me or that we had slept together or because I wore tight skirts,
imagined sexual advantage,
whore,
prostitution,
sexual favors for money,
a little spanking would help speed things along,
treat me as just someone to hit on not that i am working,
its too bad we didnt know each other 20 years ago we could have had a lot of fun together,
upon meeting in person a peer id only spoken to via email he said youre much prettier than i thought youd be,
never knew how great your legs were,
the guys in the machine shop only do things for you because you shake your tits at them,
give her a sloppy french kiss for me,
he would be gentle with me and only stick it half in,
I feel something being shoved into my butt,
his eyes were on my breasts more than they were on my face,
he told me i come off as annoying and bitchy when i try to lead certain projects,
pretty girls sell more,
why you were only hired because she liked the way you looked,
get the chick to do it,
i know you say you dont want to have kids but dont you love to fuck,
bdsm,
one of them was looking at my butt when i bent over to grab something and he was trying to get his 30 something year old son to go after a new hire who was about my age at the time,
the managers used to ask me to climb the very tall ladders so they could stand below me and look up at my butt,
can I put my dick in your ass,
catcall,
hey sexy where are you going,
hey snowbunny,
guys stop me on my way to work are you single,
if i followed you home would you take care of me,
hey slut nice tits,
i will bite your tongue off,
hey cinderella why dont you come on over here princess,
i want to fuck you with this jackhammer,
why dont you put those red lips around my cock honey,
dogwhistle,
delicious pussy,
youre beautiful fuck you be grateful i said that,
girl your body is amazing,
