meta_subject|Subject: Re: FW: winnie_t
meta_from|From: "benjamin rogers"
meta_date|Date: Wed, 01 Nov 2000 12:34:00 -0800
meta_to|To: Donahue  Patty <patty.donahue@chase.com>
end-of-meta|
end-of-meta|
body_content|What are you doing sending me this crap!  I want some dirty jokes!  I want 
body_content|some stories of wild, drunken nights, not this stuff.  We are getting into 
body_content|NYC on late on Friday night.  I am picking up my number early on Saturday 
body_content|morning.  Would you be interested in going to dinner with a group of us to 
body_content|Tony Dinapoli's on upper east side on Saturday night?  Were getting there at 
body_content|approx. 7:30pm.  Give me a call about this.  See ya
body_content|Ben
