meta_subject|Subject: THE TRUTH IS OUT THERE!
meta_from|From: "chris germany"
meta_date|Date: Wed, 21 Jun 2000 07:59:00 -0700
meta_to|To: "scott goodell"
end-of-meta|
end-of-meta|
body_content|Friends don't let friends take home ugly men
body_content|-------Women's restroom, Starboard, Dewey
body_content|Beach, DE
body_content|
body_content|Remember, it's not, "How high are you?" its
body_content|"Hi, how are you?"
body_content|-------Rest stop off Route 81, West Virginia
body_content|
body_content|No matter how good she looks, some other guy
body_content|is sick and tired
body_content|of putting up with her shit.
body_content|-----Men's Room, Linda's Bar and Grill,
body_content|Chapel Hill, N. Carolina
body_content|
body_content|A Woman's Rule of Thumb: If it has tires or
body_content|testicles, you're
body_content|going to have trouble with it.
body_content|-------Women's restroom, Dick's Last Resort,
body_content|Dallas,Texas
body_content|
body_content|Express Lane: Five beers or less.
body_content|-Sign over one of the urinals, Ed Debevic's,
body_content|Beverly Hills, CA
body_content|
body_content|You're too good for him.
body_content|-Sign over mirror Women's room, Ed Debevics,
body_content|Beverly Hills, CA
body_content|
body_content|No wonder you always go home alone.
body_content|  -Sign over mirror in Men's room, Ed Debevic's, Beverly
body_content|Hills, CA
body_content|
body_content|The best way to a man's heart is to saw his breast
body_content|plate open.
body_content|-------Women's restroom, Murphy's, Champaign, IL
body_content|
body_content|If you voted for Clinton in the last election, you
body_content|can't take
body_content|a dump here. Your asshole is in Washington.
body_content|-------Men's room Outback Steakhouse, Tacoma,
body_content|Washington
body_content|
body_content|Beauty is only a light switch away.
body_content|-------Perkins Library, Duke University, Durham, North
body_content|Carolina
body_content|
body_content|If life is a waste of time, and time is a waste of
body_content|life, then
body_content|let's all get wasted together and have the time of our
body_content|lives.
body_content|-------Armand's Pizza, Washington, D.C.
body_content|
body_content|Don't trust anything that bleeds for 5 days and
body_content|doesn't die.
body_content|-------Men's restroom, Murphy's, Champaign, IL
body_content|
body_content|What are you looking up on the wall for? The joke is
body_content|in
body_content|your hands.
body_content|-------Men's restroom, Lynagh's, Lexington, KY
body_content|
body_content|
body_content|
body_content|
body_content|
body_content|
body_content|
