meta_subject|Subject: dutch.quigley@enron.com...YOUR XXX REQUEST HAS BEEN PROCESSED
meta_from|From: "sexxxmail@list.emailbucks.com@ENRON" <imceanotes-sexxxmail+40list+2eemailbucks+2ecom+40enron@enron.com>
meta_date|Date: Sun, 21 Oct 2001 01:44:15 -0700
meta_to|To: "undisclosed-recipients:",
meta_to|    "@ENRON" <imceanotes-undisclosed-recipients+3a+3b+40enron@enron.com>
end-of-meta|
end-of-meta|
end-of-meta|
body_content|		 dutch.quigley@enron.com   Your Request Has Been Processed  For Your FREE LIFETIME VIP PASS!	
body_content|		[IMAGE] 	
body_content| [IMAGE] 	 [IMAGE] 	 [IMAGE] 	
body_content| LISA  	 CATERINA  	 NIKKI  	
body_content| [IMAGE] 	 [IMAGE] 	 [IMAGE] 	
body_content| TINA 	 LONNA 	 MELISSA 	
body_content|		     FREE VIP PASS FOR dutch.quigley@enron.com!       	
body_content|		 - The HOTTEST Legal Teens Online - - Over 65,000 XXX Pics - - Thousands of Videos and AVIs - - Live Teen Chat & Sex Shows -  dutch.quigley@enron.com:Click Here For More Details! 	
body_content|		 	
body_content|		 This is not  Spam!  You are receiving this mailing because  in a horny frenzy you subscribed and confirmed that you wanted it. If you  no longer want to receive Daily XXX Emails and FREE Porn, feel free to  scroll down and  Click on the unsubscribe Link.   Your  Loss!	
body_content|		 	
body_content|		 	
body_content|
