meta_subject|Subject: An E-Card for dutch.quigley@enron.com...
meta_from|From: "nikkyspecial@list.emailbucks.com@ENRON" <imceanotes-nikkyspecial+40list+2eemailbucks+2ecom+40enron@enron.com>
meta_date|Date: Sun, 21 Oct 2001 05:33:46 -0700
meta_to|To: "undisclosed-recipients:",
meta_to|    "@ENRON" <imceanotes-undisclosed-recipients+3a+3b+40enron@enron.com>
end-of-meta|
end-of-meta|
end-of-meta|
body_content| An E-Card to: You            From: Nasty Nikky	
body_content|
body_content|
body_content| I WAS THINKING ABOUT YOU TODAY...	
body_content| Most Shocking 	
body_content|    NEXT PAGE 	
body_content|
