meta_subject|Subject: New hand warmer
meta_from|From: "richard hrabal"
meta_date|Date: Tue, 12 Dec 2000 10:44:00 -0800
meta_to|To: "joe errigo",
meta_to|    "jay wills",
meta_to|    "don baughman",
meta_to|    "rudy acevedo",
meta_to|    "cyril price",
meta_to|    "john kinser"
end-of-meta|
end-of-meta|
body_content|OPEN IN PRIVATE
body_content|
body_content|
body_content|for your viewing pleasure
body_content|
body_content|
body_content|
body_content|
body_content|
body_content| - MSG00000.TXT
body_content| - Gloves.jpg
body_content|
